,Webpage questions \,,Quantitative Questions,
,Summarize the page ,1,What's the price of apple stock?,1
(yahoo finance specific ) ,What is the price of gold?,1,What's the price of tesla stock?,1
(yahoo finance specific ) ,What is the price of S and P 500 ? ,1,What's the price of BTC?,1
(yahoo finance specific ) , What is the price of Dow 30? ,1,What's the price of gamestop stock?,1
(yahoo finance specific ) ,What is the price of Crude Oil? ,1,What's the price of NVIDIA stock ? ,1
(yahoo finance specific ) ,What is the price of Nasdaq ? ,1,What is the price of Microsoft Stock?,1
(yahoo finance specific ) ,What is the price of Russell 2000? ,1,what is the discounted cash flow of apple,1
(yahoo finance specific),Explain this article  ( Tesla stock notches 10th consecutive day of gains as investors eye growth potential),1,What is the earnings per share (EPS) of Apple?,1
(yahoo finance specific),What is BTC at?,1,What is the earnings per share (EPS) of Tesla?,1
(yahoo finance specific),What is ETH at?,0,What is the earnings per share (EPS) of NVIDIA?,1
(bloomberg finance specific)," How much did a NYC penthouse recently sell for?
",1,What is the earnings per share (EPS) of Gamestop?,1
(bloomberg finance specific),"What's the latest news in signapore?
",1,What is the earnings per share (EPS) of Microsoft?,1
(bloomberg finance specific),"How many gallons was the spillage in houston?
",1,What is the net income of Apple for the previous fiscal year?,0.5
(bloomberg finance specific)," What's the price of the FTSE 100
",1,What is the net income of Tesla for the previous fiscal year?,0
(bloomberg finance specific),"How much money did Musk beat in the severance suit over twitter layoff?
",1,What is the net income of NVIDIA for the previous fiscal year?,0.5
(bloomberg finance specific),"Did apple see a positive gain as quarterly personal computer shipments jump?
",1,What is the net income of Gamestop for the previous fiscal year?,1
(bloomberg finance specific),"How much money did the US open the competetion for chip packaging research?
",1,What is the net income of Microsoft for the previous fiscal year?,0
(bloomberg finance specific),How much monetary boost did Africa receive as UN agency backs startup hubs,1,What is the P/E ratio for Apple?,1
(bloomberg finance specific),"What did Netflix, paramamount ask the canada court to do?
",1,What is the P/E ratio for Microsoft?,1
(bloomberg finance specific),"How much is canada investing to build chip network
",0.5,What is the P/E ratio for Gamestop?,0.5
(bloomberg finance specific),"How much did Amazon recently hit in value?
",1,What is the P/E ratio for Tesla?,1
(bloomberg finance specific),"How is Hungary's CPI
",1,What is the P/E ratio for NVIDIA?,1
Overall:,,0.9318181818,,0.8409090909
