Y = Yahoo finance Specific,B = bloomberg specific,,,,,,,,,,,,,,
,,Webpage questions ,,gpt-3.5,gpt-4o,,agent w/ gpt-4o,agent w/ gpt-3.5-turbo,Quantitative Questions,,agent w/ gpt-4o ,agent w/ gpt-3.5-turbo,,gpt-4o ,gpt-3.5
,,Summarize the page ,,0,0,,1,1,What's the price of apple stock?,,1,1,,0.5,0
,Y,What is the price of gold?,,0,0,,1,1,What's the price of tesla stock?,,1,1,,0,0
,Y,What is the price of S and P 500 ? ,,0.5,0.5,,1,1,What's the price of BTC?,,1,1,,0.5,0.5
,Y, What is the price of Dow 30? ,,0,0.5,,1,1,What's the price of gamestop stock?,,1,1,,0,0
,Y,What is the price of Crude Oil? ,,0,0,,1,1,What's the price of NVIDIA stock ? ,,1,1,,0.5,0
,Y,What is the price of Nasdaq ? ,,0,0,,1,1,What is the price of Microsoft Stock?,,1,1,,0.5,0
,Y,What is the price of Russell 2000? ,,0.5,0,,1,1,what is the discounted cash flow of apple,,1,1,,0,0
,Y,Explain this article  ( Tesla stock notches 10th consecutive day of gains as investors eye growth potential),,0,0.5,,1,1,What is the earnings per share (EPS) of Apple?,,1,1,,0,0.5
,Y,What is BTC at?,,0,0,,1,1,What is the earnings per share (EPS) of Tesla?,,1,1,,0.5,0.5
,Y,What is the price of IBRX?,,0,0,,0.5,0,What is the earnings per share ( EPS ) of meta,,1,1,,0,0
,Y,What is ETH at?,,0,0,,1,1,What is the earnings per share (EPS) of NVIDIA?,,1,1,,0.5,0
,B," How much did a NYC penthouse recently sell for?
",,0,0.5,,1,1,What is the earnings per share (EPS) of Gamestop?,,1,1,,0.5,0.5
,B,"What's the latest news in signapore?
",,0,0.5,,1,1,What is the earnings per share (EPS) of Microsoft?,,1,1,,0.5,0.5
,B,"How many gallons was the spillage in houston?
",,0,0.5,,1,1,What is the net income of Apple for the previous fiscal year?,,1,0.5,,0.5,0
,B," What's the price of the FTSE 100
",,0.5,0,,1,1,What is the net income of Tesla for the previous fiscal year?,,0.5,0,,0.5,0.5
,B,"How much money did Musk beat in the severance suit over twitter layoff?
",,0,0,,1,1,What is the net income of NVIDIA for the previous fiscal year?,,1,0.5,,0.5,0.5
,B,"Did apple see a positive gain as quarterly personal computer shipments jump?
",,0,1,,1,1,What is the net income of Gamestop for the previous fiscal year?,,1,1,,0.5,0.5
,B,"How much money did the US open the competetion for chip packaging research?
",,0,0.5,,1,1,What is the net income of Microsoft for the previous fiscal year?,,0.5,0,,0.5,0
,B,How much monetary boost did Africa receive as UN agency backs startup hubs,,0.5,0,,1,1,What is the P/E ratio for Apple?,,1,1,,0.5,0
,B,"What did Netflix, paramamount ask the canada court to do?
",,0,0.5,,1,1,What is the P/E ratio for Microsoft?,,1,1,,0,0
