,,,,,,,,,,,,
,,Webpage questions ,,agent w/ gpt-4o,agent w/ gpt-3.5-turbo,Quantitative Questions,,agent w/ gpt-4o ,agent w/ gpt-3.5-turbo,,gpt-4o ,( ChatGPT gpt-4o with RAG ) 
,,Summarize the page ,,1,1,What's the price of apple stock?,,1,1,,0.5,1
,(yahoo finance specific ) ,What is the price of gold?,,1,1,What's the price of tesla stock?,,1,1,,0,1
,(yahoo finance specific ) ,What is the price of S and P 500 ? ,,1,1,What's the price of BTC?,,1,1,,0.5,1
,(yahoo finance specific ) , What is the price of Dow 30? ,,1,1,What's the price of gamestop stock?,,1,1,,0,1
,(yahoo finance specific ) ,What is the price of Crude Oil? ,,1,1,What's the price of NVIDIA stock ? ,,1,1,,0.5,1
,(yahoo finance specific ) ,What is the price of Nasdaq ? ,,1,1,What is the price of Microsoft Stock?,,1,1,,0.5,1
,(yahoo finance specific ) ,What is the price of Russell 2000? ,,1,1,what is the discounted cash flow of apple,,1,1,,0,1
,(yahoo finance specific),Explain this article  ( Tesla stock notches 10th consecutive day of gains as investors eye growth potential),,1,1,What is the earnings per share (EPS) of Apple?,,1,1,,0,1
,(yahoo finance specific),What is BTC at?,,1,1,What is the earnings per share (EPS) of Tesla?,,1,1,,0.5,1
,(yahoo finance specific) ,What is the price of IBRX?,,0.5,0,,,,,,,
,(yahoo finance specific),What is ETH at?,,1,1,What is the earnings per share (EPS) of NVIDIA?,,1,1,,0.5,1
,(bloomberg finance specific)," How much did a NYC penthouse recently sell for?
",,1,1,What is the earnings per share (EPS) of Gamestop?,,1,1,,0.5,1
,(bloomberg finance specific),"What's the latest news in signapore?
",,1,1,What is the earnings per share (EPS) of Microsoft?,,1,1,,0.5,1
,(bloomberg finance specific),"How many gallons was the spillage in houston?
",,1,1,What is the net income of Apple for the previous fiscal year?,,1,0.5,,0.5,1
,(bloomberg finance specific)," What's the price of the FTSE 100
",,1,1,What is the net income of Tesla for the previous fiscal year?,,0.5,0,,0.5,1
,(bloomberg finance specific),"How much money did Musk beat in the severance suit over twitter layoff?
",,1,1,What is the net income of NVIDIA for the previous fiscal year?,,1,0.5,,0.5,1
,(bloomberg finance specific),"Did apple see a positive gain as quarterly personal computer shipments jump?
",,1,1,What is the net income of Gamestop for the previous fiscal year?,,1,1,,0.5,0.5
,(bloomberg finance specific),"How much money did the US open the competetion for chip packaging research?
",,1,1,What is the net income of Microsoft for the previous fiscal year?,,0.5,0,,0.5,0.5
,(bloomberg finance specific),How much monetary boost did Africa receive as UN agency backs startup hubs,,1,1,What is the P/E ratio for Apple?,,1,1,,0.5,1
,(bloomberg finance specific),"What did Netflix, paramamount ask the canada court to do?
",,1,1,What is the P/E ratio for Microsoft?,,1,1,,0,1
,(bloomberg finance specific),"How much is canada investing to build chip network
",,0.5,0.5,What is the P/E ratio for Gamestop?,,1,0.5,,0.5,0.5
,(bloomberg finance specific),"How much did Amazon recently hit in value?
",,1,0.5,What is the P/E ratio for Tesla?,,1,1,,0,1
,(bloomberg finance specific),"How is Hungary's CPI
",,1,1,What is the P/E ratio for NVIDIA?,,1,1,,0.5,1
,,,,0.9565217391,0.9130434783,,,0.9545454545,,,0.3636363636,0.9318181818
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,yahoo finance specific avg for agent w/ 4o,0.9545454545,bloomberg finance specific avg for agent w/ 4o,0.9583333333,,,,,,
