Y = Yahoo finance Specific,B = bloomberg specific,,"E = Easy, D = Difficult",,,,,,,,,,,
,,Webpage questions ,,gpt-3.5,gpt-4o,agent w/ gpt-4o,agent w/ gpt-3.5-turbo,Quantitative Questions,,agent w/ gpt-4o ,agent w/ gpt-3.5-turbo,gpt-4o ,gpt-3.5,
D,Y,Summarize the page ,,0,0,1,1,What's the price of apple stock?,,1,1,0.5,0,E
D,B,Summarize the page ,,0,0,1,1,What is the earnings per share (EPS)  Proctor and Gamble,,1,0.5,0,0,E
E,Y,What is the price of gold?,,0,0,1,1,What's the price of tesla stock?,,1,1,0,0,E
E,Y,What is the price of S and P 500 ? ,,0.5,0.5,1,1,What's the price of BTC?,,1,1,0.5,0.5,E
E,Y, What is the price of Dow 30? ,,0,0.5,1,1,What's the price of gamestop stock?,,1,1,0,0,E
E,Y,What is the price of Crude Oil? ,,0,0,1,1,What's the price of NVIDIA stock ? ,,1,1,0.5,0,E
E,Y,What is the price of Nasdaq ? ,,0,0,1,1,What is the price of Microsoft Stock?,,1,1,0.5,0,E
E,Y,What is the price of Russell 2000? ,,0.5,0,1,1,what is the discounted cash flow of apple,,1,1,0,0,D
D,Y,Explain this article  ( Tesla stock notches 10th consecutive day of gains as investors eye growth potential),,0,0.5,1,1,What is the earnings per share (EPS) of Apple?,,1,1,0,0.5,D
E,Y,What is BTC at?,,0,0,1,1,What is the earnings per share (EPS) of Tesla?,,1,1,0.5,0.5,D
E,Y,What is the price of IBRX?,,0,0,0.5,0.5,What is the earnings per share ( EPS ) of meta,,1,1,0,0,D
E,Y,What is ETH at?,,0,0,1,1,What is the earnings per share (EPS) of NVIDIA?,,1,1,0.5,0,D
D,B," How much did a NYC penthouse recently sell for?
",,0,0.5,1,1,What is the earnings per share (EPS) of Gamestop?,,1,1,0.5,0.5,D
D,B,"What's the latest news in signapore?
",,0,0.5,1,1,What is the earnings per share (EPS) of Microsoft?,,1,1,0.5,0.5,D
D,B,"How many gallons was the spillage in houston?
",,0,0.5,1,1,What is the net income of Apple for the previous fiscal year?,,1,0.5,0.5,0,E
E,B," What's the price of the FTSE 100
",,0.5,0,1,1,What is the net income of Tesla for the previous fiscal year?,,0.5,0,0.5,0.5,E
D,B,"How much money did Musk beat in the severance suit over twitter layoff?
",,0,0,1,1,What is the net income of NVIDIA for the previous fiscal year?,,1,0.5,0.5,0.5,E
D,B,"Did apple see a positive gain as quarterly personal computer shipments jump?
",,0,1,1,1,What is the net income of Gamestop for the previous fiscal year?,,1,1,0.5,0.5,E
E,B,"How much money did the US open the competetion for chip packaging research?
",,0,0.5,1,1,What is the net income of Microsoft for the previous fiscal year?,,0.5,0,0.5,0,E
D,B,How much monetary boost did Africa receive as UN agency backs startup hubs,,0.5,0,1,1,What is the P/E ratio for Apple?,,1,1,0.5,0,D
D,B,"What did Netflix, paramamount ask the canada court to do?
",,0,0.5,1,1,What is the P/E ratio for Microsoft?,,1,1,0,0,D
D,B,"How much is canada investing to build chip network
",,0.5,0.5,0.5,0.5,What is the P/E ratio for Gamestop?,,1,0.5,0.5,0.5,D
D,B,"How much did Amazon recently hit in value?
",,0.5,0.5,1,0.5,What is the P/E ratio for Tesla?,,1,1,0,0,D
E,B,"How is Hungary's CPI
",,0,0,1,1,What is the P/E ratio for NVIDIA?,,1,1,0.5,0.5,D
E,Y,What is the price of FTSE 100,,0,0,1,1,What is the price of Amazon stock?,,1,1,0.5,0,E
E,Y,What is the current value of the S&P 500 index?,,0,0.5,1,0,What is the price of Walmart stock?,,1,1,0.5,0.5,E
E,Y,By what percentage is the Nasdaq index up?,,0.5,0,1,1,What is the price of Proctor and Gamble stock?,,1,1,0,0,E
E,Y,What is the current yield of the US 10 Year Treasury bond?,,0,0,1,1,What is the P/E ratio for Amazon?,,0.5,0.5,0,0,D
D,Y,"Has the price of crude oil increased or decreased, and by how much?",,0,0,1,1,What is the P/E ratio for Walmart?,,1,0.5,0.5,0,D
E,Y,What is the current price of gold and by what percentage has it changed?,,0,0,1,1,What is the P/E ratio for Proctor and Gamble?,,1,1,0,0,D
E,Y,What is the exchange rate for the Euro against the US Dollar?,,0.5,0,1,1,What is the net income of Amazon for the previous fiscal year?,,1,1,0,0.5,E
D,Y,How much has the Pound/Dollar exchange rate changed?,,0,0.5,1,1,What is the net income of Walmart for the previous fiscal year?,,1,1,0.5,0,E
E,Y,How much has Kamala Harris raised in her campaign fundraising in the first week?,,0,0,1,1,What is the net income of Proctor and Gamble for the previous fiscal year?,,1,1,0.5,0,E
D,Y,Who are the top contenders for Harris' running mate according to the article?,,0,0.5,0.5,0.5,What is the earnings per share (EPS) of Amazon?,,1,1,0,0,D
D,Y,What is Harris' current favorability rating in the ABC News/Ipsos poll?,,0,0,1,1,What is the earnings per share (EPS) of Walmart?,,1,1,0,0.5,D
D,Y,What is Janet Yellen's stance on the argument that a strong dollar hurts US manufacturing?,,0,0.5,1,1,What is the earnings per share (EPS) of Proctor and Gamble?,,0.5,0.5,0,0.5,D
D,Y,Which company’s intelligence feature is expected to miss the initial launch of iOS 18?,,0,0,1,0.5,What is the discounted cash flow of Amazon?,,1,1,0.5,0,D
D,Y,What milestone has Apple reached in the US regarding retail union contracts?,,0,0.5,0.5,1,What is the discounted cash flow of Walmart?,,1,1,0.5,0.5,D
D,Y,Who are the key political figures in the upcoming Venezuelan elections?,,0.5,0,1,1,What is the discounted cash flow of Proctor and Gamble?,,1,0.5,0.5,0,D
