,,,,,,,,,,,,,,,,,,
ESMA,,,,,EMIR,,,,,Link Retrieval ,,,NER,FinGPT Agent,,,,
,,,,,,,,,,,,,,Organizations,Legislations,Dates,Monetary Values,Statistics
abbreviations,FinGPT Agent,definitions,FinGPT Agent,,abbreviations,FinGPT Agent,definitions,FinGPT Agent,,Laws,FinGPT Agent,,"Regulation (EU) No 648/2012 of the European Parliament and of the Council of 4 July 2012 on OTC derivatives, central counterparties and trade repositories (“EMIR”) entered into force on 16 August 2012.",1,1,1,1,1
AIF,1,technical support,1,,EMIR,1,technical support,1,,(EU) 2019/834,1,,Most of the obligations under EMIR needed to be specified further via regulatory technical standards and they will take effect following the entry into force of the technical standards.,1,1,1,1,1
AIFM,1,national authority,1,,SFTR,1,national authority,1,,(EU) No 1095/2010,1,,On 19 December 2012 the European Commission adopted without modifications the regulatory technical standards developed by ESMA.,1,1,1,1,1
AIFMD,1,Union funds,1,,RTS on reporting,1,Union funds,1,,(EU) No 1247/2012,1,,These technical standards were published in the Official Journal on 23 February 2013 and en- tered into force on 15 March 2013.,1,1,1,1,1
CCP,1,international organisation,1,,ITS on reporting,1,international organisation,1,,(EU) No 1248/2012,1,,"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
Regulation (EU) No 648/2012 of the European Parliament and of the Council of 4 July 2012 on OTC derivatives, central counterparties and trade repositories (“EMIR”);",1,1,1,1,0
CSD,1,international organisation,1,,RTS on registration,1,international organisation,1,,(EU) No 1249/2012,1,,"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
Commission Implementing Regulation (EU) No 1247/2012 of 19 December 2012 laying down implementing technical standards with regard to the format and fre- quency of trade reports to trade repositories according to Regulation (EU) No 648/2012;",1,1,1,1,1
CICI,1,European Semester for economic policy coordination,1,,RTS on data quality,1,European Semester for economic policy coordination,1,,(EU) No 148/2013,1,,"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
Commission Implementing Regulation (EU) No 1248/2012 of 19 December 2012 laying down implementing technical standards with regard to the format of appli- cations for registration of trade repositories according to Regulation (EU) No 648/2012;",1,1,1,1,1
CT,0,country-specific recommendations,1,,RTS on data access,1,country-specific recommendations,1,,(EU) No 149/2013,1,,"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
Commission Implementing Regulation (EU) No 1249/2012 of 19 December 2012 laying down implementing technical standards with regard to the format of the rec- ords to be maintained by central counterparties according to Regulation (EU) No 648/2012;",1,1,1,1,1
EMIR,1,the rule of law,1,,RTS on organisation requirements,1,the rule of law,1,,(EU) No 150/2013,1,,"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
Commission Delegated Regulation (EU) No 148/2013 of 19 December 2012 sup- plementing Regulation (EU) No 648/2012 with regard to regulatory technical stand- ards on the minimum details of the data to be reported to trade repositories;",1,1,1,1,1
ESMA,1,government entity,1,,CFI code,1,government entity,1,,(EU) No 151/2013,1,,"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
Commission Delegated Regulation (EU) No 149/2013 of 19 December 2012 sup- plementing Regulation (EU) No 648/2012 with regard to regulatory technical stand- ards on indirect clearing arrangements, the clearing obligation, the public register, access to a trading venue, non-financial counterparties, and risk mitigation tech- niques for OTC derivatives contracts not cleared by a CCP;",1,1,1,1,1
